seed,mode_norm,success_rate,final_distance,episode_length,episode_return,n_episodes,tau_effort,energy,mode_label
0,pirl,0.57,0.09144902071699272,104.41,-22.12818351669575,100,20.86715566221112,24.237274188543484,PIRL (PI-reward)
0,pure,0.5,0.10729068207446427,115.2,-23.98591221089807,100,10.619664645251461,17.80762565176723,RL puro
1,pirl,0.42,0.10264717157024568,128.14,-27.049090072269355,100,18.78528229163593,25.054676242606497,PIRL (PI-reward)
1,pure,0.43,0.12176653204651298,127.1,-28.943259547336112,100,9.88860153741315,22.524348977304776,RL puro
2,pirl,0.55,0.09895542777169186,108.09,-23.192175779646345,100,11.206172302964857,18.919754620967968,PIRL (PI-reward)
2,pure,0.34,0.10519115260461892,141.65,-25.624424103892764,100,20.846949882167564,28.041874459577084,RL puro
3,pirl,0.57,0.11414050101181238,102.24,-25.22937662867045,100,8.243706665382913,16.209905545372834,PIRL (PI-reward)
3,pure,0.23,0.47997913891155636,159.42,-87.31174963678355,100,6.101692937627439,21.86730759909413,RL puro
4,pirl,0.66,0.07151582848242855,90.32,-17.842374677936107,100,13.058784061479017,19.925845306533596,PIRL (PI-reward)
4,pure,0.71,0.07711149160682286,81.5,-18.31577842904921,100,20.22400223121078,22.1420832485857,RL puro
